,precision,recall,f1-score,support
opheodrys-vernalis,0.8235294117647058,0.6666666666666666,0.7368421052631577,21.0
pantherophis-alleghaniensis,0.36585365853658536,0.4,0.38216560509554137,75.0
pantherophis-emoryi,0.5714285714285714,0.6666666666666666,0.6153846153846153,36.0
pantherophis-guttatus,0.9183673469387755,0.8035714285714286,0.8571428571428571,56.0
pantherophis-obsoletus,0.5395348837209303,0.6041666666666666,0.5700245700245701,192.0
pantherophis-spiloides,0.43478260869565216,0.25,0.3174603174603175,40.0
pantherophis-vulpinus,0.5957446808510638,0.8484848484848485,0.7,33.0
phyllorhynchus-decurtatus,0.6956521739130435,0.9411764705882353,0.7999999999999999,17.0
pituophis-catenifer,0.7073170731707317,0.7016129032258065,0.7044534412955465,124.0
pseudechis-porphyriacus,0.6666666666666666,0.2857142857142857,0.4,7.0
python-bivittatus,0.875,0.7777777777777778,0.823529411764706,9.0
python-regius,0.0,0.0,0.0,3.0
regina-septemvittata,0.56,0.6666666666666666,0.6086956521739131,21.0
rena-dulcis,0.6666666666666666,0.8,0.7272727272727272,10.0
rhinocheilus-lecontei,0.8292682926829268,0.85,0.8395061728395061,40.0
sistrurus-catenatus,1.0,0.8,0.888888888888889,5.0
sistrurus-miliarius,1.0,0.6666666666666666,0.8,6.0
sonora-semiannulata,0.3333333333333333,0.4,0.3636363636363636,5.0
storeria-dekayi,0.76,0.8465346534653465,0.8009367681498829,202.0
storeria-occipitomaculata,0.631578947368421,0.6486486486486487,0.64,37.0
tantilla-gracilis,0.5454545454545454,0.6,0.5714285714285713,10.0
thamnophis-cyrtopsis,0.5714285714285714,0.4444444444444444,0.5,9.0
thamnophis-elegans,0.47058823529411764,0.2962962962962963,0.3636363636363636,27.0
thamnophis-hammondii,0.5555555555555556,0.35714285714285715,0.43478260869565216,14.0
thamnophis-marcianus,0.8787878787878788,0.8285714285714286,0.8529411764705883,35.0
thamnophis-ordinoides,0.375,0.16666666666666666,0.23076923076923078,18.0
thamnophis-proximus,0.7543859649122807,0.7413793103448276,0.7478260869565219,58.0
thamnophis-radix,0.8181818181818182,0.47368421052631576,0.6,38.0
thamnophis-sirtalis,0.7167070217917676,0.896969696969697,0.7967698519515478,330.0
tropidoclonion-lineatum,0.7777777777777778,0.6363636363636364,0.7000000000000001,11.0
vermicella-annulata,0.0,0.0,0.0,3.0
vipera-aspis,0.4,0.5714285714285714,0.47058823529411764,7.0
vipera-berus,0.75,0.75,0.75,12.0
virginia-valeriae,0.2,0.14285714285714285,0.16666666666666666,7.0
xenodon-rabdocephalus,1.0,1.0,1.0,8.0
zamenis-longissimus,0.4,0.3333333333333333,0.3636363636363636,12.0
accuracy,0.6930662557781202,0.6930662557781202,0.6930662557781202,0.6930662557781202
macro avg,0.6659430597272402,0.6050948460385794,0.6247619446039016,3245.0
weighted avg,0.6925634979734435,0.6930662557781202,0.6866874083865039,3245.0
